sim_id is_study_rep study_rep sim_rep run_time is_study is_fire_output is_dynamics is_metapop is_metapop_full is_metapop_dynamics is_metapop_pops is_recol_rescue is_plants_pop is_dispersal scenario_file param1 val1 param2 val2
46 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 19 mort_scn 5
47 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 20 mort_scn 5
48 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 21 mort_scn 5
49 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 22 mort_scn 5
50 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 23 mort_scn 5
51 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 24 mort_scn 5
52 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 25 mort_scn 5
53 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 26 mort_scn 5
54 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 27 mort_scn 5
55 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 28 mort_scn 5
56 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 29 mort_scn 5
57 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 30 mort_scn 5
58 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 31 mort_scn 5
59 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 32 mort_scn 5
60 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 33 mort_scn 5
61 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 34 mort_scn 5
62 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv fire_interval_mean 35 mort_scn 5
