sim_id is_study_rep study_rep sim_rep run_time is_study is_fire_output is_dynamics is_metapop is_metapop_full is_metapop_dynamics is_metapop_pops is_recol_rescue is_plants_pop is_dispersal scenario_file param1 val1 param2 val2 param3 val3
23 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 27 model_type 0
24 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 28 model_type 0
25 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 29 model_type 0
26 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 30 model_type 0
27 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 31 model_type 0
28 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 32 model_type 0
29 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 33 model_type 0
30 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 34 model_type 0
31 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 35 model_type 0
32 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 5 model_type 1
33 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 6 model_type 1
34 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 7 model_type 1
35 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 8 model_type 1
36 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 9 model_type 1
37 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 10 model_type 1
38 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 11 model_type 1
39 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 12 model_type 1
40 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 13 model_type 1
41 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 14 model_type 1
42 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 15 model_type 1
43 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 16 model_type 1
44 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 17 model_type 1
45 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 18 model_type 1
46 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 19 model_type 1
47 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 20 model_type 1
48 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 21 model_type 1
49 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 22 model_type 1
50 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 23 model_type 1
51 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 24 model_type 1
52 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 25 model_type 1
53 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 26 model_type 1
54 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 27 model_type 1
55 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 28 model_type 1
56 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 29 model_type 1
57 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 30 model_type 1
58 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 31 model_type 1
59 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 32 model_type 1
60 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 33 model_type 1
61 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 34 model_type 1
62 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv mort_scn 5 fire_interval_mean 35 model_type 1
